Project,Client,Title,Duration
sos2021-07,,#10 ASCII faces,00:27:05
sos2021-07,,#11 Crear plantilla HTML con el contenido del README.md de /SOS2021,00:04:21
sos2021-07,,#12 actualizacion GitHub,00:20:12
sos2021-07,,#13 Añadir 5 campos a mi dataset,02:19:30
sos2021-07,,#14 Heroku,02:11:17
sos2021-07,,#15 Postman,01:31:30
sos2021-07,,#16 Instalación y creación app heroku,03:02:00
sos2021-07,,#17 Piazza,00:11:03
sos2021-07,,#20 API REST,03:15:34
sos2021-07,,#21 API REST - Unemplyment,03:44:00
sos2021-07,,#23 POSTMAN,03:05:56
sos2021-07,,#24 Sistema de integración,02:11:00
sos2021-07,,#26 Busquedas para unemployment,02:32:00
sos2021-07,,#27 Busquedas y demas,04:14:58
sos2021-07,,#3 Datos Depresion,00:14:01
sos2021-07,,#30 Arreglos Backlog,09:24:00
sos2021-07,,#31 Parte grupal,01:20:18
sos2021-07,,#32 Integraciones y demas...,02:14:00
sos2021-07,,#7 POSTMAN,00:12:35
sos2021-07,,#8 Plantilla de trabajo,02:03:05
sos2021-07,,API 1 documentación 0.5 p,00:55:36
sos2021-07,,API 2 documentación 0.5 p,00:13:52
sos2021-07,,API 3 documentación 0.5 p ,02:12:34
sos2021-07,,Búsqueda de conjunto de datos,00:38:31
sos2021-07,,Completar D02 mensajes de acierto error,05:43:00
sos2021-07,,D01: API Rest ,03:57:32
sos2021-07,,D02,06:52:54
sos2021-07,,D03,14:32:09
sos2021-07,,entregable 0.5 p,00:57:05
sos2021-07,,entregable martes,00:27:22
sos2021-07,,F02,04:38:50
sos2021-07,,F03,02:52:47
sos2021-07,,F04,03:38:00
sos2021-07,,F05,04:00:18
sos2021-07,,F07,02:23:32
sos2021-07,,Formularios Apis,04:35:00
sos2021-07,,Grafica de la libreria reservada,06:15:51
sos2021-07,,integracion api 1,06:22:42
sos2021-07,,Integraciones APIS,03:43:00
sos2021-07,,Integraciones externas unemployment,08:23:00
sos2021-07,,Integraciones otros grupos ,03:49:00
sos2021-07,,Lectura piazza.,00:25:23
sos2021-07,,OTRAS INTEGRACIONES MAS,03:38:28
sos2021-07,,Probando cositas,00:48:06
sos2021-07,,terminando de arreglar cositas,03:26:00
sos2021-07,,TRABAJANDO EN UNA API,01:07:33
sos2021-07,,uso de api rentals,01:21:43
sos2021-07,,Visualizaciones API unemployment,10:23:00
